region,humidity_pct,rainfall_mm,proximity_to_water_km,household_size,sanitation_index,healthcare_access_index,skin_contact_occupation,disease_cases
Plateau,86.9,150.1,0.99,5,0.266,0.233,education,41
Nyanza,77.4,52.3,1.21,3,0.389,0.376,mining,8
Rivers,66.5,64.6,0.37,2,0.745,0.457,fishing,4
Cross River,74.0,153.3,2.01,5,0.227,0.229,farming,27
Nyanza,56.7,58.5,1.38,2,0.644,0.139,education,8
Rivers,66.3,66.9,1.2,4,0.421,0.397,farming,7
Rift Valley,90.3,74.5,3.55,6,0.131,0.895,education,13
Lagos,63.1,81.4,3.67,8,0.414,0.399,fishing,7
Rift Valley,90.4,148.1,5.5,3,0.49,0.267,farming,14
Nyanza,71.2,87.0,0.37,2,0.205,0.772,fishing,9
Greater Accra,81.9,36.9,0.18,5,0.13,0.903,fishing,16
Cross River,72.4,22.8,0.78,5,0.628,0.495,trade,14
Lagos,49.6,25.1,1.24,7,0.309,0.329,trade,26
Greater Accra,66.3,58.7,8.53,8,0.208,0.511,fishing,13
Ashanti,73.9,217.4,1.38,6,0.257,0.169,trade,37
Volta,60.5,131.5,0.51,1,0.385,0.139,farming,20
Western,58.5,73.1,7.61,1,0.513,0.568,farming,0
Nairobi,75.7,18.0,0.55,6,0.603,0.728,trade,6
Western,65.5,222.3,2.06,2,0.307,0.497,trade,1
Plateau,55.0,58.9,9.54,5,0.587,0.181,farming,6
Western,65.2,63.6,1.58,7,0.164,0.699,fishing,5
Kaduna,80.6,33.1,0.44,5,0.196,0.498,farming,27
Eastern,67.3,73.0,0.02,5,0.173,0.516,trade,23
Ashanti,81.3,75.1,1.44,3,0.392,0.367,trade,23
Northern,87.3,55.7,2.53,4,0.021,0.511,trade,24
Kano,72.3,19.9,1.96,7,0.481,0.339,fishing,20
Kaduna,60.7,134.8,0.23,8,0.096,0.668,trade,20
Northern,59.0,127.1,0.86,6,0.147,0.754,farming,20
Western,71.7,20.2,7.29,11,0.345,0.298,farming,24
Rivers,80.8,168.4,5.47,3,0.188,0.25,trade,16
Nyanza,74.7,99.4,0.92,1,0.491,0.326,fishing,21
Eastern,77.5,122.9,6.06,1,0.452,0.474,fishing,2
Nairobi,67.6,60.3,8.55,4,0.163,0.48,farming,2
Greater Accra,75.0,96.2,0.58,4,0.086,0.179,farming,38
Western,67.3,17.0,1.12,9,0.342,0.548,fishing,19
Coast,68.7,48.0,2.21,4,0.421,0.781,education,0
Cross River,59.1,102.4,22.08,6,0.556,0.137,farming,6
Eastern,56.3,103.1,4.06,1,0.149,0.689,trade,0
Nairobi,67.2,90.9,8.64,2,0.187,0.271,education,12
Rift Valley,60.9,50.4,0.68,6,0.275,0.621,farming,16
Greater Accra,62.4,135.4,1.08,4,0.66,0.222,farming,17
Northern,78.7,203.3,3.14,6,0.51,0.128,farming,28
Nairobi,70.9,154.8,7.84,1,0.285,0.595,education,0
Plateau,100.0,48.9,2.59,6,0.138,0.406,farming,25
Lagos,81.3,115.7,19.2,4,0.413,0.34,farming,4
Eastern,65.7,89.8,3.33,4,0.014,0.62,farming,14
Rivers,79.8,165.8,0.54,3,0.136,0.466,education,25
Ashanti,75.6,100.7,0.17,6,0.292,0.341,fishing,32
Nairobi,65.1,124.0,2.31,4,0.34,0.146,farming,24
Rift Valley,83.0,92.7,6.25,8,0.19,0.541,fishing,11
Nairobi,64.2,207.4,8.59,5,0.307,0.078,trade,18
Ashanti,41.4,38.9,1.77,5,0.09,0.519,trade,11
Cross River,79.9,21.8,1.4,4,0.303,0.336,trade,21
Northern,65.8,37.7,2.16,4,0.388,0.187,farming,20
Cross River,86.9,132.0,1.75,7,0.31,0.382,mining,16
Nairobi,65.5,24.7,0.39,1,0.44,0.743,education,0
Western,60.2,15.6,5.02,1,0.372,0.203,fishing,5
Greater Accra,87.5,84.1,8.89,4,0.604,0.414,farming,3
Kaduna,61.2,58.3,0.67,6,0.267,0.579,education,14
Plateau,74.0,200.2,3.25,10,0.266,0.231,trade,28
Eastern,86.5,88.7,0.36,5,0.271,0.737,trade,16
Eastern,73.1,50.1,0.96,2,0.37,0.725,trade,0
Kaduna,71.2,41.6,7.53,8,0.174,0.282,fishing,24
Nyanza,73.0,32.3,1.63,5,0.219,0.343,trade,25
Cross River,80.4,86.2,2.31,4,0.71,0.2,trade,13
Coast,63.9,26.6,26.63,6,0.114,0.349,farming,21
Coast,78.1,94.9,2.98,3,0.64,0.149,farming,10
Kaduna,77.8,46.1,1.29,4,0.355,0.275,farming,22
Kano,95.3,71.9,5.34,3,0.241,0.107,trade,21
Nairobi,68.6,123.8,4.06,3,0.53,0.243,trade,1
Greater Accra,62.9,10.9,13.03,7,0.438,0.139,farming,17
Plateau,79.4,176.6,2.13,5,0.155,0.441,farming,18
Cross River,68.0,149.7,3.9,7,0.495,0.414,farming,11
Eastern,74.9,28.6,7.96,6,0.334,0.361,farming,11
Western,73.3,92.6,5.21,7,0.296,0.406,trade,13
Greater Accra,83.7,28.1,2.89,1,0.496,0.671,trade,0
Coast,65.4,54.8,11.5,4,0.289,0.623,mining,0
Nairobi,71.1,56.8,11.41,8,0.363,0.517,trade,7
Lagos,46.5,56.6,0.97,3,0.294,0.161,fishing,32
Nyanza,63.1,88.4,0.02,7,0.06,0.7,mining,22
Lagos,87.4,39.3,3.7,8,0.224,0.323,fishing,34
Northern,65.2,204.5,0.34,5,0.136,0.07,trade,36
Eastern,65.0,45.6,8.15,5,0.253,0.571,farming,0
Ashanti,59.8,176.2,4.06,4,0.08,0.279,education,26
Kano,77.8,141.6,9.63,6,0.408,0.608,trade,4
Greater Accra,73.8,158.7,4.45,2,0.245,0.485,farming,5
Lagos,60.1,225.2,11.36,5,0.538,0.301,trade,0
Coast,78.7,213.5,3.94,5,0.816,0.099,farming,16
Lagos,74.6,156.4,6.09,3,0.362,0.666,farming,0
Kaduna,79.5,25.6,2.88,5,0.471,0.506,trade,10
Kaduna,65.6,47.6,0.23,3,0.61,0.333,farming,16
Ashanti,89.4,38.7,2.58,5,0.306,0.764,farming,8
Ashanti,76.1,89.4,1.49,2,0.313,0.21,trade,18
Northern,70.8,100.0,20.98,5,0.229,0.477,education,3
Cross River,66.8,50.5,3.99,5,0.385,0.439,farming,3
Ashanti,69.6,277.6,2.95,7,0.147,0.091,farming,45
Eastern,80.6,89.0,1.56,2,0.528,0.297,trade,16
Western,69.3,129.2,2.09,9,0.532,0.366,trade,16
Rivers,82.8,39.1,1.65,3,0.307,0.385,trade,16
Coast,77.8,98.7,9.57,7,0.305,0.439,trade,17
Coast,85.5,36.5,7.1,5,0.355,0.694,education,0
Greater Accra,80.1,48.7,12.74,2,0.66,0.235,farming,0
Nyanza,71.4,84.9,0.86,5,0.162,0.284,farming,38
Greater Accra,52.9,96.5,3.42,3,0.136,0.704,fishing,0
Western,75.0,194.7,5.7,4,0.219,0.032,fishing,22
Rift Valley,79.9,22.8,9.32,5,0.358,0.353,farming,9
Coast,73.6,98.9,1.53,4,0.333,0.307,farming,28
Eastern,77.6,53.0,3.38,2,0.436,0.287,fishing,14
Rift Valley,67.3,104.7,0.27,3,0.455,0.451,farming,10
Nyanza,68.2,153.4,1.6,1,0.278,0.272,farming,14
Rift Valley,62.6,42.6,4.35,7,0.575,0.496,farming,0
Nairobi,85.6,143.1,10.39,4,0.38,0.485,trade,0
Volta,73.6,72.2,1.63,5,0.256,0.317,farming,39
Cross River,67.1,82.1,3.24,3,0.327,0.467,farming,10
Kaduna,58.7,33.1,2.77,4,0.355,0.297,trade,5
Western,70.5,69.2,4.06,4,0.23,0.642,fishing,2
Lagos,86.4,52.8,3.3,9,0.492,0.196,farming,31
Kano,76.6,245.0,2.07,7,0.282,0.128,fishing,40
Volta,64.8,126.2,14.92,4,0.134,0.818,fishing,0
Kaduna,86.3,246.5,0.45,7,0.097,0.36,farming,45
Rivers,86.3,49.0,2.69,4,0.386,0.672,farming,2
Kaduna,81.8,114.9,0.91,5,0.238,0.198,mining,33
Northern,79.9,114.7,5.65,9,0.283,0.362,trade,20
Cross River,83.6,62.1,0.78,3,0.388,0.447,farming,19
Plateau,77.4,88.1,6.21,4,0.26,0.413,farming,9
Western,79.8,278.9,12.87,1,0.289,0.631,education,0
Rivers,64.2,61.0,10.93,9,0.356,0.32,trade,25
Nairobi,87.0,139.6,1.39,2,0.399,0.584,farming,8
Ashanti,74.3,106.6,0.49,2,0.219,0.078,education,29
Plateau,92.2,26.8,2.74,1,0.227,0.254,farming,19
Kano,51.6,65.1,9.03,7,0.328,0.253,education,8
Eastern,79.1,123.6,3.31,5,0.182,0.561,farming,13
Kano,81.8,443.1,3.42,6,0.363,0.399,fishing,19
Northern,68.6,113.0,0.17,3,0.256,0.429,farming,28
Nairobi,76.5,152.3,4.46,7,0.259,0.518,farming,11
Western,79.5,144.1,0.74,3,0.303,0.399,farming,12
Ashanti,77.8,40.0,0.07,3,0.17,0.186,fishing,32
Ashanti,66.6,184.7,0.1,2,0.091,0.481,mining,26
Western,70.6,45.7,13.18,8,0.306,0.464,mining,2
Lagos,82.2,83.1,2.43,5,0.457,0.428,farming,16
Cross River,84.8,73.3,2.36,7,0.352,0.336,mining,25
Rivers,73.0,125.8,7.76,3,0.249,0.524,farming,0
Kano,72.8,90.1,0.05,4,0.681,0.247,farming,21
Western,74.0,114.4,0.91,5,0.086,0.338,education,27
Plateau,82.4,32.6,1.56,6,0.213,0.572,farming,31
Eastern,61.5,67.2,3.27,11,0.549,0.271,trade,21
Northern,58.7,132.4,3.58,3,0.51,0.502,farming,0
Western,73.2,131.7,1.89,6,0.155,0.442,education,13
Western,60.9,180.9,6.25,3,0.36,0.657,farming,0
Western,66.1,113.4,2.38,3,0.232,0.419,education,15
Eastern,72.9,11.2,2.54,8,0.44,0.35,fishing,26
Kano,76.8,44.0,2.19,9,0.285,0.846,farming,9
Volta,61.3,104.4,4.32,8,0.525,0.592,farming,2
Western,80.0,90.6,0.04,9,0.316,0.512,farming,36
Eastern,54.3,173.8,8.1,8,0.569,0.41,trade,3
Eastern,77.5,115.8,2.47,5,0.304,0.808,farming,13
Northern,56.2,80.2,6.61,5,0.546,0.288,trade,4
Lagos,59.3,80.8,1.85,5,0.411,0.162,trade,26
Lagos,78.4,36.7,0.53,4,0.234,0.452,fishing,17
Northern,67.9,20.5,1.43,1,0.323,0.037,farming,20
Volta,64.0,192.4,6.38,6,0.459,0.21,trade,13
