region,rainfall_mm,temperature_c,population_density,sanitation_index,water_source,open_defecation_rate,disease_cases
Nyanza,34.4,24.3,70.8,0.081,lake,0.217,23
Eastern,75.0,27.2,39.2,0.072,piped,0.159,29
Lagos,90.0,28.1,78.9,0.146,piped,0.47,32
Kano,139.0,32.1,141.0,0.478,piped,0.476,18
Eastern,78.9,33.3,16.2,0.115,borehole,0.24,18
Western,59.2,25.9,70.2,0.433,borehole,0.526,12
Cross River,120.9,24.5,80.7,0.499,river,0.485,20
Volta,49.8,22.6,60.1,0.158,borehole,0.312,15
Greater Accra,112.6,31.9,187.8,0.39,river,0.203,3
Coast,102.9,27.6,51.0,0.334,piped,0.152,0
Ashanti,140.4,25.9,62.5,0.283,piped,0.257,5
Northern,35.8,27.7,93.5,0.659,lake,0.252,0
Kaduna,76.6,20.2,186.6,0.266,piped,0.112,0
Kaduna,22.3,22.7,72.2,0.381,river,0.247,5
Eastern,55.8,30.7,410.2,0.363,piped,0.354,21
Nyanza,128.4,29.0,36.3,0.22,piped,0.309,15
Coast,107.2,28.3,325.9,0.705,well,0.393,0
Nyanza,83.2,24.8,38.2,0.397,river,0.097,0
Ashanti,49.7,29.6,76.5,0.26,well,0.207,0
Coast,61.8,33.2,129.5,0.383,lake,0.148,0
Northern,91.3,24.2,702.6,0.658,lake,0.491,9
Cross River,73.9,27.9,220.5,0.587,piped,0.355,0
Eastern,128.5,26.5,60.0,0.241,well,0.419,29
Volta,39.0,28.9,330.0,0.316,well,0.014,0
Coast,28.7,27.9,72.7,0.43,piped,0.288,0
Eastern,83.5,27.4,40.8,0.181,river,0.416,24
Northern,43.2,25.2,141.0,0.054,river,0.303,24
Nyanza,107.8,27.8,98.9,0.15,river,0.064,1
Kano,427.3,26.0,233.6,0.462,river,0.126,12
Cross River,50.4,27.4,51.9,0.236,borehole,0.409,10
Northern,84.3,27.6,131.8,0.351,well,0.331,1
Eastern,129.1,29.8,169.8,0.054,piped,0.299,25
Kano,62.8,26.1,118.9,0.555,river,0.17,0
Plateau,118.5,26.9,87.4,0.466,lake,0.388,10
Kaduna,115.1,31.1,44.8,0.548,well,0.188,0
Coast,52.7,27.2,222.2,0.246,well,0.124,0
Lagos,74.1,27.1,103.3,0.33,river,0.337,9
Plateau,160.0,30.4,147.9,0.224,river,0.402,23
Coast,141.4,28.7,63.4,0.196,piped,0.315,19
Eastern,103.1,28.1,91.2,0.194,river,0.126,7
Kano,132.3,28.5,31.9,0.488,river,0.286,0
Greater Accra,69.7,24.1,98.1,0.194,borehole,0.557,37
Nairobi,77.7,29.2,193.5,0.21,borehole,0.071,0
Cross River,51.6,31.8,98.8,0.24,well,0.103,0
Western,70.6,29.6,212.6,0.37,well,0.393,4
Kaduna,86.7,23.2,123.1,0.07,well,0.24,14
Lagos,155.7,28.7,352.1,0.383,well,0.162,0
Ashanti,201.8,25.1,74.4,0.235,borehole,0.519,45
Kaduna,47.3,27.2,17.5,0.325,borehole,0.388,6
Plateau,80.1,28.3,138.7,0.158,borehole,0.146,7
Coast,84.6,24.3,76.3,0.026,river,0.145,14
Western,197.2,31.9,34.0,0.505,lake,0.36,9
Western,54.1,27.7,172.6,0.093,lake,0.117,10
Rivers,65.9,30.3,117.3,0.085,borehole,0.268,19
Rift Valley,38.6,29.8,140.5,0.323,piped,0.049,0
Volta,76.1,31.9,64.6,0.301,well,0.149,0
Lagos,154.6,31.5,109.6,0.447,lake,0.082,0
Western,87.6,23.5,116.1,0.415,lake,0.251,0
Rivers,29.4,28.0,530.9,0.32,river,0.119,0
Cross River,84.9,21.5,45.4,0.74,borehole,0.093,0
Nairobi,219.2,26.5,89.1,0.293,piped,0.352,21
Cross River,103.0,30.0,129.5,0.133,well,0.092,3
Nyanza,126.4,30.6,16.0,0.257,river,0.257,11
Coast,60.6,31.8,18.1,0.566,river,0.168,0
Greater Accra,128.0,26.8,785.1,0.24,river,0.16,5
Eastern,47.9,28.9,15.4,0.231,river,0.34,21
Cross River,149.9,28.2,160.0,0.32,piped,0.206,3
Rift Valley,20.5,31.7,38.5,0.392,well,0.074,0
Ashanti,113.6,32.7,42.0,0.252,well,0.136,7
Nairobi,68.3,26.8,12.4,0.087,well,0.488,30
Coast,38.0,38.0,36.6,0.225,well,0.219,8
Rift Valley,60.9,27.9,197.2,0.611,well,0.484,12
Western,160.4,26.8,22.4,0.663,piped,0.581,14
Western,83.7,29.7,163.3,0.521,piped,0.167,0
Cross River,177.3,30.2,123.1,0.545,borehole,0.419,13
Rift Valley,32.9,29.5,677.4,0.375,well,0.269,0
Lagos,138.4,26.0,56.0,0.146,borehole,0.759,64
Western,20.6,32.3,318.4,0.333,well,0.124,0
Kaduna,191.3,28.1,219.0,0.206,borehole,0.12,7
Ashanti,33.5,32.5,67.6,0.268,river,0.068,0
Western,161.5,32.1,17.1,0.28,river,0.123,4
Western,122.5,24.1,407.3,0.669,piped,0.385,0
Nairobi,210.4,25.0,23.0,0.055,well,0.519,65
Western,159.0,24.9,56.1,0.149,well,0.314,25
Western,76.2,28.7,217.7,0.539,piped,0.191,0
Western,172.5,28.1,274.8,0.535,piped,0.222,0
Northern,49.5,28.7,38.7,0.475,river,0.096,0
Kaduna,140.4,25.5,87.2,0.384,river,0.311,10
Plateau,72.4,29.2,69.5,0.447,piped,0.378,7
Volta,20.3,32.2,293.4,0.282,well,0.162,6
Eastern,101.2,23.9,1101.7,0.243,river,0.096,12
Greater Accra,138.1,27.4,14.4,0.166,well,0.112,12
Western,58.1,28.7,225.1,0.369,well,0.447,8
Plateau,124.2,27.6,5.2,0.443,river,0.304,0
Volta,110.9,27.4,91.3,0.369,well,0.063,0
Nairobi,40.0,33.3,29.7,0.322,river,0.144,0
Kano,140.1,31.8,659.7,0.432,borehole,0.596,33
Western,68.8,30.5,106.3,0.195,borehole,0.263,16
Nyanza,164.6,25.7,43.1,0.401,piped,0.152,0
Northern,50.8,34.7,54.6,0.529,borehole,0.148,0
Kaduna,94.0,29.0,50.6,0.173,borehole,0.031,0
Western,90.1,26.2,108.7,0.134,well,0.048,6
Nairobi,128.2,26.9,76.8,0.069,piped,0.184,24
Plateau,67.7,26.5,173.4,0.574,well,0.283,0
Western,55.4,34.3,420.0,0.356,well,0.116,0
Rift Valley,114.0,28.6,181.5,0.171,borehole,0.031,0
Nyanza,60.2,28.1,26.4,0.32,river,0.206,0
Nyanza,97.5,21.5,17.7,0.016,well,0.068,14
Eastern,52.8,30.2,42.3,0.359,well,0.549,25
Eastern,89.6,24.8,258.1,0.277,lake,0.084,0
Greater Accra,35.8,24.6,64.4,0.458,river,0.434,8
Kaduna,52.6,29.8,46.2,0.223,well,0.134,0
Lagos,195.5,25.4,103.4,0.069,piped,0.644,55
Eastern,109.5,30.5,21.9,0.17,well,0.475,42
Rift Valley,89.9,31.3,28.8,0.26,borehole,0.519,44
Kano,282.4,22.6,150.0,0.302,borehole,0.377,22
Rivers,71.2,27.6,66.5,0.487,well,0.075,0
Rivers,61.2,23.2,57.2,0.15,piped,0.225,14
Eastern,76.3,27.8,123.7,0.424,river,0.216,0
Greater Accra,245.9,30.7,50.2,0.282,river,0.317,25
Kaduna,193.7,23.9,45.3,0.134,piped,0.281,24
Nairobi,91.4,33.4,56.8,0.154,piped,0.062,3
Kaduna,135.9,27.0,164.5,0.524,lake,0.274,0
Eastern,103.2,24.4,95.6,0.457,piped,0.541,22
Nyanza,73.7,27.6,27.3,0.171,river,0.227,19
Rift Valley,95.4,30.3,66.5,0.244,river,0.294,4
Kaduna,44.3,23.8,172.1,0.133,river,0.605,59
Western,24.4,28.0,584.5,0.239,piped,0.217,7
Ashanti,128.8,23.8,28.7,0.261,lake,0.092,1
Plateau,104.6,31.6,126.3,0.394,borehole,0.379,16
Volta,53.1,28.4,69.5,0.63,river,0.162,0
Volta,120.4,26.7,205.5,0.19,well,0.07,1
Nairobi,112.1,31.1,141.1,0.44,borehole,0.501,30
Coast,81.4,24.1,392.4,0.44,piped,0.116,0
Western,184.7,26.8,151.3,0.228,piped,0.334,30
Western,46.8,33.5,52.2,0.171,borehole,0.167,10
Western,96.6,27.6,52.5,0.62,piped,0.431,7
Rift Valley,103.7,32.0,135.0,0.539,piped,0.279,2
Northern,66.2,28.5,133.6,0.156,river,0.248,12
Ashanti,11.9,25.8,990.2,0.296,lake,0.071,0
Coast,88.3,27.2,481.2,0.102,well,0.384,32
Rift Valley,288.2,28.2,27.8,0.337,river,0.18,8
Kaduna,37.4,26.7,127.8,0.363,lake,0.303,0
Eastern,169.9,25.5,23.8,0.443,piped,0.25,0
Eastern,132.3,25.6,17.2,0.405,borehole,0.371,12
Lagos,102.9,23.5,189.3,0.256,borehole,0.362,19
Coast,55.4,28.3,156.3,0.398,borehole,0.344,0
Northern,30.7,29.1,31.9,0.095,river,0.244,17
Greater Accra,77.5,30.2,465.8,0.194,well,0.271,18
Nairobi,102.3,22.5,33.9,0.374,piped,0.354,11
Coast,37.8,30.4,28.0,0.299,lake,0.097,0
Western,124.7,27.9,172.9,0.205,piped,0.29,16
Rivers,212.6,23.6,112.3,0.135,piped,0.136,32
Kano,48.8,28.2,76.7,0.215,river,0.122,0
Cross River,197.7,30.4,84.2,0.482,borehole,0.419,19
Greater Accra,57.4,29.5,112.6,0.214,river,0.598,34
Plateau,127.6,30.1,78.3,0.547,piped,0.19,0
Volta,32.1,30.8,75.8,0.768,piped,0.342,0
Cross River,250.5,30.6,13.5,0.149,borehole,0.163,7
Kano,159.1,27.8,23.5,0.423,borehole,0.156,1
Rivers,158.4,21.7,165.8,0.293,well,0.193,29
Ashanti,138.8,25.7,44.5,0.638,borehole,0.468,0
Lagos,171.8,29.0,155.3,0.181,borehole,0.033,1
Plateau,37.0,26.5,309.7,0.162,lake,0.237,12
Coast,180.0,30.0,63.1,0.197,piped,0.196,8
Lagos,57.7,30.3,119.5,0.196,well,0.071,0
Greater Accra,25.1,28.1,718.0,0.45,borehole,0.167,0
Coast,189.0,33.6,180.4,0.12,river,0.117,11
Cross River,101.7,25.0,567.9,0.202,well,0.173,4
Plateau,101.5,30.7,417.1,0.334,well,0.225,6
Eastern,150.7,26.5,191.2,0.312,borehole,0.132,2
Kano,154.0,25.6,80.5,0.097,well,0.302,27
Western,97.3,29.7,38.8,0.651,lake,0.1,0
Western,77.3,26.1,29.6,0.074,borehole,0.075,0
Northern,164.9,30.5,146.4,0.232,river,0.02,0
Plateau,97.7,24.4,143.8,0.244,piped,0.192,5
Ashanti,112.3,28.0,75.6,0.296,well,0.169,0
Rift Valley,133.6,25.4,210.3,0.478,river,0.22,0
Volta,88.8,27.2,49.2,0.357,well,0.254,2
Lagos,17.8,26.8,273.2,0.058,river,0.149,14
Nyanza,79.4,24.6,93.7,0.059,river,0.495,32
Cross River,133.9,29.9,86.8,0.085,piped,0.318,23
Western,156.1,24.2,90.0,0.732,well,0.524,3
Western,51.5,25.0,81.6,0.648,piped,0.321,0
Coast,43.2,30.6,1083.8,0.366,piped,0.153,0
Nyanza,38.0,30.9,18.0,0.403,river,0.338,4
Ashanti,2.4,29.9,107.5,0.072,borehole,0.287,14
Volta,68.5,29.0,312.3,0.173,piped,0.244,8
Eastern,25.4,34.8,184.5,0.192,well,0.297,11
Volta,58.3,24.3,66.5,0.351,river,0.448,16
Northern,110.7,25.7,512.9,0.462,borehole,0.187,0
Ashanti,45.5,25.0,30.9,0.215,piped,0.359,23
Eastern,253.1,30.6,24.4,0.278,borehole,0.252,18
Volta,106.3,28.8,158.9,0.332,piped,0.103,0
Eastern,85.3,31.3,21.0,0.194,piped,0.331,18
Coast,27.2,30.9,8.3,0.609,well,0.193,0
Western,288.6,27.3,217.6,0.725,borehole,0.123,0
Nairobi,87.3,25.5,192.7,0.834,borehole,0.21,0
Coast,94.5,25.0,187.2,0.402,lake,0.413,10
Eastern,73.1,34.6,55.3,0.423,river,0.319,0
Eastern,136.4,30.9,108.1,0.62,river,0.135,0
Lagos,232.1,29.7,34.3,0.294,lake,0.061,0
Ashanti,69.9,26.9,510.0,0.339,river,0.413,15
Kano,45.8,27.4,198.5,0.542,borehole,0.081,0
Kaduna,69.0,26.9,189.1,0.241,piped,0.244,5
Plateau,246.7,27.0,12.8,0.178,river,0.135,19
Rivers,68.7,20.7,201.8,0.371,piped,0.297,9
Kaduna,16.3,27.8,401.0,0.462,borehole,0.335,0
Western,155.6,26.8,303.8,0.116,borehole,0.168,9
Rivers,61.5,28.8,198.2,0.725,lake,0.144,0
Kaduna,131.7,28.6,89.9,0.26,river,0.092,0
Western,112.6,30.5,64.0,0.244,borehole,0.251,10
Nairobi,88.4,27.9,164.3,0.256,borehole,0.09,0
Coast,50.4,30.3,132.0,0.343,well,0.172,0
Rivers,18.5,20.3,114.0,0.38,piped,0.34,14
Lagos,58.1,24.7,66.1,0.193,piped,0.228,9
Northern,97.3,33.1,483.6,0.37,well,0.265,6
Kaduna,37.7,24.3,28.0,0.075,well,0.189,9
Rivers,65.0,27.1,88.0,0.369,well,0.332,10
Lagos,26.7,30.1,50.4,0.584,river,0.432,0
Eastern,161.4,25.3,252.7,0.256,piped,0.387,39
Ashanti,73.3,30.1,376.3,0.264,river,0.372,5
Greater Accra,97.9,23.7,312.3,0.175,borehole,0.07,5
Western,12.7,22.2,191.6,0.337,lake,0.569,20
Kano,243.8,24.0,22.1,0.483,piped,0.507,14
Northern,174.6,23.0,721.4,0.358,borehole,0.165,5
Western,64.3,27.9,150.9,0.153,river,0.148,4
Northern,141.6,27.0,80.8,0.016,borehole,0.222,47
Nairobi,59.3,28.9,92.0,0.517,piped,0.107,0
Northern,44.8,24.9,64.1,0.229,borehole,0.409,13
Eastern,42.2,35.6,137.5,0.292,borehole,0.093,0
Rivers,36.7,27.7,122.8,0.113,river,0.189,9
Eastern,102.5,27.8,62.8,0.339,borehole,0.313,11
Nyanza,46.7,29.3,6.9,0.361,river,0.349,10
Western,146.1,27.2,86.9,0.503,river,0.192,0
Coast,37.8,26.1,145.0,0.43,piped,0.335,10
Eastern,117.0,28.2,152.3,0.486,borehole,0.193,0
Rift Valley,69.7,30.7,77.2,0.347,lake,0.015,0
Nairobi,50.4,30.0,141.6,0.359,well,0.226,1
Coast,20.3,30.8,251.7,0.224,piped,0.224,17
Nairobi,58.2,26.3,56.2,0.596,well,0.203,0
Rivers,58.9,25.6,390.1,0.024,borehole,0.105,13
Lagos,56.9,34.0,12.7,0.197,river,0.141,1
Eastern,36.7,27.2,25.5,0.148,river,0.081,0
Nyanza,214.9,29.4,36.4,0.472,borehole,0.126,0
Nairobi,57.1,30.2,7.8,0.625,lake,0.108,0
Lagos,35.0,32.2,33.1,0.129,piped,0.362,32
Cross River,86.8,23.9,313.7,0.109,lake,0.047,2
Rivers,155.5,26.5,311.5,0.488,piped,0.174,0
Ashanti,65.8,26.7,99.2,0.482,well,0.222,0
Ashanti,47.9,27.1,503.2,0.233,borehole,0.069,0
Kaduna,55.1,20.7,114.4,0.54,river,0.548,13
Rivers,158.1,27.7,54.7,0.315,well,0.212,12
Western,146.1,19.3,114.6,0.562,borehole,0.2,0
Volta,185.2,28.9,78.5,0.501,river,0.171,0
Eastern,103.8,29.6,187.9,0.076,borehole,0.331,24
Eastern,35.0,29.8,20.0,0.154,borehole,0.2,11
Cross River,103.4,24.4,244.5,0.432,river,0.452,2
Volta,125.9,30.8,56.9,0.401,borehole,0.069,0
Rift Valley,76.5,25.4,211.7,0.153,well,0.163,10
Nyanza,59.1,24.3,19.3,0.048,river,0.083,0
Northern,155.7,25.0,59.2,0.543,river,0.15,0
Eastern,176.7,25.4,97.3,0.211,river,0.085,0
Coast,30.5,28.5,221.7,0.632,river,0.187,0
Rift Valley,33.7,30.4,26.6,0.237,piped,0.054,0
Cross River,178.1,21.7,477.0,0.338,well,0.293,13
Eastern,55.4,26.4,145.9,0.446,well,0.346,3
Eastern,98.4,30.7,53.2,0.467,piped,0.365,6
